Elements,Price (USD/kg),CO2 footprint (kg CO2/kg),Energy footprint (MJ/kg),Water usage (L/kg),HHI,countries_list
Li,21.14,46.2,587.0,474.5,0.3689,"['Australia', 'China', 'Chile']"
Na,2.053,1.95,100.75,0.0,0.309629,"[nan, nan, nan]"
C,24.0,16.6,210.5,262.0,0.399367,"[nan, nan, nan]"
O,3.0,0.837,15.05,0.0,0.441644,"[nan, nan, nan]"
Ni,18.14,15.45,206.5,228.0132902,0.373,"['Indonesia', 'Philippines', 'Russia']"
Mn,0.4,5.455,75.3,243.4912632,0.224,"['South Africa', 'Gabon', 'Australia']"
Co,56.29,43.3,2120.0,582.5316477,0.559,"['Congo-Kinshasa', 'Indonesia', 'China']"
Fe,0.1071,2.305,21.3,47.24576544,0.204,"['Australia', 'Brazil', nan]"
P,0.1435,14.2,232.0,167.0,0.212,"['China', 'Morocco', 'United States']"
F,1900.0,10.55,197.0,407.0,0.0,"['China', 'Mexico', 'Mongolia']"
Cr,11.53,21.15,484.0,474.4644231,0.259,"['South Africa', 'Turkey', 'Kazakhstan']"
V,214.84,242.0,3715.0,648.519042,0.481,"['China', 'Russia', 'South Africa']"
Si,1.23,10.9,129.5,24.44606622,0.549,"['China', 'Brazil', 'Norway']"
S,0.609,0.1635,2.71,0.0,0.103,"['China', 'United States', 'Saudi Arabia']"
Ti,6.37,33.25,587.5,109.9931063,0.174,"['China', 'Mozambique', 'South Africa']"
B,2500.0,2.775,51.05,5485.0,0.44,"['Turkey', 'Chile', 'China']"
Mg,2.45,23.85,385.5,979.7984369,0.373,"['China', 'Brazil', 'Kazakhstan']"
Zn,3.2295,3.71,45.4,344.0,0.167,"['China', 'Peru', 'Australia']"
Ca,63.35,9.27,148.0,0.0,0.0,"[nan, nan, nan]"
Pt,76580.0,41400.0,1120000.0,196003.9984,0.662,"['South Africa', 'Zimbabwe', 'Russia']"
Al,3.1664,12.95,199.5,1009.55745,0.369,"['China', 'India', 'Russia']"
Mo,71.4,16.9,152.5,359.0,0.247,"['China', 'Peru', 'Chile']"
Graphite,3.87,16.6,210.5,262.0,0.47,"['China', 'Madagascar', 'Mozambique']"
Sb,23.659,8.46,132.0,3380.0,0.307,"['China', 'Tajikistan', 'Russia']"
Sn,54.232,6.93,172.0,10115.0,0.142,"['China', 'Indonesia', 'Burma']"
Ag,3426.63,453.0,6930.0,76350.0,0.124,"['Mexico', 'China', 'Peru']"
Al,3.2102,12.95,199.5,1009.5,0.369,"['China', 'India', 'Russia']"
Au,163447.3,62000.0,424500.0,252000.0,0.106,"['China', 'Russia', 'Australia']"
Ba,,,,49.0,0.15,"['India', 'China', 'Morocco']"
Be,1.1811,863.0,6390.0,7.78,0.39,"['United States', 'Brazil', 'China']"
Bi,212.22,9.07,145.0,2945.0,0.679,"['China', 'Republic of Korea', 'Japan']"
Br,,,,,0.309,"['Israel', 'Jordan', 'China']"
Cd,379.98,5.515,91.35,817.5,0.199,"['China', 'Republic of Korea', 'Canada']"
Ce,4.1583,,,,0.491,"['China', 'United States', 'Australia']"
Cs,92247.52,,,,0.0,"['Canada', 'Zimbabwe', 'Australia']"
Cl,,,,,0.0,"[nan, nan, nan]"
Cu,12.95,6.74,98.25,312.5,0.12,"['Chile', 'Congo-Kinshasa', 'Peru']"
Dy,0.25667,93.8,1410.0,55.45,0.491,"['China', 'Myanmar', 'United States']"
Er,54.77488,197.5,2955.0,55.45,0.491,"['China', 'Australia', 'United States']"
Eu,,1575.0,20700.0,55.45,0.491,"['China', 'Australia', 'United States']"
Ga,217.64,170.5,2620.0,3800.0,0.968,"['United States', 'Russia', 'Japan']"
Gd,,88.1,1325.0,55.45,0.491,"[nan, nan, nan]"
Ge,1975.0,8950.0,991.0,9890.0,0.87,"['China', nan, nan]"
H,,3.345,78.85,474.5,0.0,"[nan, nan, nan]"
Hf,,73.4,1105.0,8130.0,0.0,"[nan, nan, nan]"
Hg,,11.5,112.0,474.5,0.754,"['China', 'Tajikistan', 'Norway']"
Ho,75.99,129.0,1935.0,55.45,0.491,"[nan, nan, nan]"
I,,,,,0.0,"['Chile', 'Japan', 'Iran']"
In,488.54,119.0,2610.0,1345.0,0.481,"['China', 'Republic of Korea', 'Japan']"
Ir,238612.0,2910.0,47600.0,196000.0,0.909,"[nan, nan, nan]"
K,21.65185,,,,0.22,"['Canada', 'Russia', 'China']"
La,2.93949,17.55,271.0,55.45,0.491,"['China', 'United States', 'Australia']"
Lu,738.46,2785.0,45000.0,55.45,0.491,"[nan, nan, nan]"
N,,0.3345,6.03,,0.0,"[nan, nan, nan]"
Nb,96.79,123.0,1850.0,154.5,0.817,"['Brazil', 'Canada', 'Congo-Kinshasa']"
Nd,125.46,5.045,84.95,47.6,0.491,"['China', 'Myanmar', 'United States']"
Pb,2.41,2.135,27.5,344.5,0.223,"['China', 'United States', 'Peru']"
Pd,71802.86,7600.0,185000.0,196000.0,0.366,"['Russia', 'South Africa', 'Canada']"
Pr,129.76,42.35,641.5,55.45,0.491,"['China', 'Myanmar', 'United States']"
Pu,,,,,,"[nan, nan, nan]"
Rb,106837.75,,,,0.0,"[nan, nan, nan]"
Re,5534.84,973.5,8665.0,3800.0,0.334,"['Chile', 'United States', 'Poland']"
Rh,387837.44,53150.0,1305000.0,196000.0,0.714,"['China', nan, nan]"
Ru,54476.18,1755.0,24400.0,196000.0,0.93,"['China', nan, nan]"
Sc,3656.44,3270.0,54850.0,55.15,0.0,"['China', nan, nan]"
Se,27.24,3.44,79.15,26.3,0.244,"['China', 'Japan', 'Russia']"
Sm,10.61,78.4,1180.0,55.45,0.491,"['China', nan, nan]"
Sr,1.14,,,,0.329,"['Iran', 'Spain', 'China']"
Ta,455.26,284.0,4310.0,648.5,0.25,"['Congo-Kinshasa', 'Nigeria', 'Rwanda']"
Tb,1113.42,1001.5,9190.0,55.45,0.491,"['China', 'Myanmar', 'United States']"
Te,125.47,6.93,125.0,25.55,0.478,"['China', nan, nan]"
Tl,,158.5,2375.0,1840.0,0.0,"['China', nan, nan]"
Tm,,1885.0,26950.0,55.45,0.491,"['China', nan, nan]"
U,196.72,86.1,1295.0,3545.0,0.0,"['Kazakhstan', 'Canada', 'Namibia ']"
W,30.11,38.05,578.0,154.5,0.659,"['China', 'Vietnam', 'Russia']"
Y,0.0337,89.15,1470.0,55.15,0.68,"['China', nan, nan]"
Zr,2.7387,103.0,1610.0,275.5,0.188,"['Australia', 'South Africa', 'Mozambique']"
,,,,,,"[nan, nan, nan]"
,,,,,,"[nan, nan, nan]"
,,,,,,"[nan, nan, nan]"
oxide,,,,,,"[nan, nan, nan]"
powder,,,,,,"[nan, nan, nan]"
carbonate,,,,,,"[nan, nan, nan]"
